date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,windspeedmean
2023-01-01,14.1,9.6,13,14.1,9.6,13,68.3,17.3
2023-01-02,15,7.8,11.9,15,5.4,11.1,69.5,18.9
2023-01-03,9,5.8,7.3,7.2,3.4,5.4,84.5,10.7
2023-01-04,9.5,4.8,7.4,6.2,2.2,4,88.4,22.9
2023-01-05,11.1,9.1,10.2,11.1,5.5,9.7,82.1,22.1
2023-01-06,10.6,8.6,9.3,10.6,6,7.4,88.2,15
2023-01-07,10.5,7.9,9,10.5,5.4,7.7,77.5,10.1
2023-01-08,9.8,7.2,8.3,7.9,4.8,6,88.2,14.6
2023-01-09,8.1,5.1,6.2,6.2,0.9,2.5,86.1,21.3
2023-01-10,5.8,4.3,5,3.6,0.6,1.7,81,15.9
2023-01-11,9.8,5.1,8,7.3,2.3,5,87.9,19.5
2023-01-12,8.3,6.8,7.7,4.9,2.6,3.9,87.5,27.7
2023-01-13,8.6,6.5,7.8,5.2,2.2,4,82.1,26.8
2023-01-14,9.6,5.3,7.2,6.3,2,3.9,85,21.5
2023-01-15,9.6,2.4,5.9,6,-2.5,1.8,83.7,25.5
2023-01-16,5.8,2.2,3.9,2.7,-4.4,-0.4,81.6,22.2
2023-01-17,3.8,0,1.7,1.3,-4.6,-0.8,81.1,11.1
2023-01-18,3,-1.3,0.1,-0.3,-4.4,-1.7,74.8,7
2023-01-19,2.3,-1.4,0.5,0.6,-6.8,-2.5,81.8,12
2023-01-20,2.1,-3.5,-0.6,0.1,-4.1,-1.9,88,6
2023-01-21,-0.2,-2.7,-1.4,-0.2,-8.4,-5.5,88.6,14.4
2023-01-22,0.8,-1.9,-0.3,0.3,-7.5,-3,90,10.9
2023-01-23,1.1,-0.3,0.4,-1.7,-5.5,-4.2,86.5,17.8
2023-01-24,1.1,0.3,0.8,-2.7,-5.2,-3.8,87.8,17.9
2023-01-25,0.3,-1.4,-0.3,-1.2,-4.7,-3.4,93.9,10
2023-01-26,-1.2,-2.4,-1.7,-1.2,-6.4,-3.1,88.8,4.5
2023-01-27,1.6,-1.2,0.4,0,-5.2,-2.6,90,11.5
2023-01-28,1.3,-0.7,0.6,-2.2,-5.2,-3.5,83.6,15.2
2023-01-29,0.8,-2.2,-0.9,-1,-5.6,-3,73.8,6.6
2023-01-30,3.3,-1.2,1.1,0.4,-7.2,-3.8,88,20
2023-01-31,4.8,0.8,2.8,0.1,-3.7,-1.5,89.2,20.3
2023-02-01,6.3,4.6,5.4,2,-0.3,0.9,79.3,27.4
2023-02-02,7.6,6.1,6.6,3.5,0.4,2.6,78.8,26.3
